,xlon,ylat,XCO2,SST,SSS,MLD,Chl,dbscan_clusters
108,-75.5,173.5,370.18506,-1.151843,34.356537,90.70888,1.363743,0
109,-75.5,174.5,370.18506,-1.1967547,34.325405,79.39386,1.4226714,0
110,-75.5,175.5,370.18506,-1.2438003,34.300488,72.984055,1.4824826,0
111,-75.5,176.5,370.18506,-1.2846203,34.281326,69.32438,1.5295962,0
112,-75.5,177.5,370.18506,-1.3208919,34.265427,67.72684,1.5553434,0
113,-75.5,178.5,370.18506,-1.3520712,34.25015,63.897335,1.5565276,0
114,-75.5,179.5,370.18506,-1.3788362,34.23453,58.890133,1.5335755,0
115,-75.5,180.5,370.18506,-1.4026632,34.217426,54.272236,1.4775436,0
116,-75.5,181.5,370.18506,-1.4284244,34.196217,50.50807,1.4000822,0
117,-75.5,182.5,370.18506,-1.4607755,34.169407,48.367012,1.317783,0
118,-75.5,183.5,370.18506,-1.5003644,34.13936,49.04399,1.2427226,0
119,-75.5,184.5,370.18506,-1.5454907,34.11105,50.497265,1.2198389,0
120,-75.5,185.5,370.18506,-1.5849987,34.088806,52.24573,1.2485358,0
121,-75.5,186.5,370.18506,-1.612796,34.06892,54.24947,1.251884,0
122,-75.5,187.5,370.18506,-1.636089,34.04804,56.144863,1.238497,0
123,-75.5,188.5,370.18506,-1.6537758,34.027782,57.92754,1.2200502,0
124,-75.5,189.5,370.18506,-1.6666414,34.008556,59.62601,1.205245,0
125,-75.5,190.5,370.18506,-1.6754684,33.990055,61.11503,1.1948045,0
126,-75.5,191.5,370.18506,-1.6812421,33.97184,62.295296,1.1881244,0
127,-75.5,192.5,370.18506,-1.6854665,33.95359,63.279137,1.1882924,0
128,-75.5,193.5,370.18506,-1.6881236,33.935486,64.22356,1.1944159,0
129,-75.5,194.5,370.18506,-1.69295,33.917606,65.107445,1.203942,0
130,-75.5,195.5,370.18506,-1.6990222,33.899754,65.976944,1.215816,0
131,-75.5,196.5,370.18506,-1.7036827,33.88226,66.8855,1.2305983,0
132,-75.5,197.5,370.18506,-1.7073338,33.865402,67.84889,1.2455544,0
133,-75.5,198.5,370.18506,-1.7107301,33.849174,68.83481,1.2587646,0
134,-75.5,199.5,370.18506,-1.7144228,33.833553,69.80686,1.2709298,0
135,-75.5,200.5,370.18506,-1.7175928,33.818756,70.76307,1.2834989,0
136,-75.5,201.5,370.18506,-1.7187961,33.804928,71.73392,1.2966877,0
137,-75.5,202.5,370.18506,-1.7195629,33.791477,72.72081,1.3106251,0
138,-75.5,203.5,370.18506,-1.7190692,33.77855,73.53862,1.3256778,0
139,-75.5,204.5,370.18506,-1.7170888,33.765987,74.14566,1.3439077,0
140,-75.5,205.5,370.18506,-1.7146485,33.75373,74.66751,1.3635846,0
141,-75.5,206.5,370.18506,-1.7113172,33.74174,75.10707,1.3812199,0
142,-75.5,207.5,370.18506,-1.7082134,33.730026,75.41226,1.3899752,0
143,-75.5,208.5,370.18506,-1.7062995,33.718666,75.6314,1.3804085,0
144,-75.5,209.5,370.18506,-1.7067344,33.707577,75.567375,1.3414553,0
145,-75.5,307.5,370.18506,-1.6674417,34.31319,69.21854,0.88073146,0
146,-75.5,308.5,370.18506,-1.6689086,34.2984,60.535442,0.8609352,0
147,-75.5,309.5,370.18506,-1.6741045,34.28355,56.582912,0.83868194,0
148,-75.5,310.5,370.18506,-1.6787852,34.27002,55.62142,0.8142871,0
149,-75.5,311.5,370.18506,-1.6832881,34.25883,56.20486,0.7905223,0
150,-75.5,312.5,370.18506,-1.6844003,34.25044,57.785404,0.7685654,0
151,-75.5,313.5,370.18506,-1.6850011,34.243847,59.651264,0.74904513,0
152,-75.5,314.5,370.18506,-1.6848638,34.238003,61.660034,0.730678,0
153,-75.5,315.5,370.18506,-1.6839685,34.231857,63.720253,0.71087176,0
154,-75.5,316.5,370.18506,-1.6830316,34.224545,65.63135,0.6884179,0
155,-75.5,317.5,370.18506,-1.6820953,34.2157,67.26801,0.6630596,0
156,-75.5,318.5,370.18506,-1.6799752,34.205647,68.787315,0.6343841,0
157,-75.5,319.5,370.18506,-1.6766299,34.19506,70.47712,0.6028845,0
158,-75.5,320.5,370.18506,-1.6749246,34.183434,71.8784,0.5701028,0
159,-75.5,321.5,370.18506,-1.6731795,34.17107,73.24909,0.53680336,0
160,-75.5,322.5,370.18506,-1.6707773,34.157997,74.78802,0.5064778,0
161,-75.5,323.5,370.18506,-1.6667938,34.144257,76.68784,0.47822434,0
162,-75.5,324.5,370.18506,-1.6595377,34.13049,78.78265,0.45108706,0
163,-75.5,325.5,370.18506,-1.6483524,34.116993,81.752815,0.42485026,0
164,-75.5,326.5,370.18506,-1.6331992,34.103348,85.681046,0.40038997,0
165,-75.5,327.5,370.18506,-1.6141645,34.08907,89.22071,0.3791666,0
166,-75.5,328.5,370.18506,-1.5925726,34.075085,92.2364,0.36152577,0
167,-75.5,329.5,370.18506,-1.5648621,34.06276,95.68324,0.34577367,0
168,-75.5,330.5,370.18506,-1.5293318,34.05519,99.60053,0.33076292,0
169,-75.5,331.5,370.18506,-1.4901886,34.053368,104.915726,0.31710705,0
170,-74.5,165.5,370.18506,-1.4503726,34.425667,110.96001,1.3009262,0
