,ylat,xlon,SSS,MLD,SST,pCO2,k=5,k=10,k=15
2750,-63.5,271.5,33.6514282227,4.55901288986,1.71086895466,340.343264071,3,0,14
2751,-63.5,272.5,33.650604248,4.55375146866,1.71627438068,340.278568117,3,0,14
2752,-63.5,273.5,33.6489295959,4.54627132416,1.70929920673,340.122590796,3,0,14
2753,-63.5,274.5,33.646068573,4.53620243073,1.68764722347,339.876252885,3,0,14
2754,-63.5,275.5,33.6414909363,4.52285861969,1.64488589764,339.475791799,3,0,14
2755,-63.5,276.5,33.6347541809,4.5050702095,1.57589328289,338.835355901,3,0,14
2756,-63.5,277.5,33.6259346008,4.48470401764,1.48576068878,337.958002294,3,0,14
2757,-63.5,278.5,33.6154251099,4.46128892899,1.3837454319,336.869689996,3,0,7
2758,-63.5,279.5,33.6035232544,4.43541193008,1.27616870403,335.565919633,3,0,7
2759,-63.5,280.5,33.5900115967,4.4059548378,1.16153013706,333.9591535,3,0,7
2760,-63.5,281.5,33.574382782,4.37186527252,1.03524553776,331.937619214,3,0,7
2761,-63.5,282.5,33.5564537048,4.33486890793,0.897395312786,329.473033483,4,0,7
2762,-63.5,283.5,33.5367889404,4.29781532288,0.756101429462,326.696417213,4,1,7
2763,-63.5,284.5,33.5174789429,4.265209198,0.634082317352,324.026107522,4,1,7
2764,-63.5,285.5,33.5005874634,4.23667669296,0.544872820377,321.86365326,4,1,7
2765,-63.5,286.5,33.48387146,4.20794630051,0.467641055584,319.886766167,4,1,7
2766,-63.5,287.5,33.4642066956,4.17420339584,0.384707897902,317.686954237,4,1,7
2767,-63.5,288.5,33.4394683838,4.13474559784,0.289406895638,315.096775907,4,1,7
2768,-63.5,289.5,33.4080047607,4.0884513855,0.180242612958,312.129180889,4,1,5
2769,-63.5,290.5,33.3678970337,4.03466129303,0.0571398325264,308.889976556,4,1,5
2770,-63.5,291.5,33.3175926208,3.97527313232,-0.0769982933998,305.548204764,4,1,5
2771,-63.5,292.5,33.2583427429,3.91080975533,-0.212429478765,302.336959633,4,1,5
2772,-63.5,293.5,33.1929893494,3.83978796005,-0.345438152552,299.330453016,4,1,5
2773,-63.5,294.5,33.1287269592,3.75898051262,-0.475633084774,296.458297959,4,1,5
2774,-63.5,295.5,33.0957221985,3.67800211906,-0.559938848019,294.299737476,4,1,5
2775,-63.5,296.5,33.1302604675,3.63448357582,-0.50995516777,293.225045503,4,1,5
2776,-63.5,297.5,33.1865959167,3.61438107491,-0.423620760441,291.404428905,4,1,5
2777,-63.5,298.5,33.2262611389,3.60273051262,-0.377372950315,288.515823697,4,1,5
2778,-63.5,305.5,34.101108551,3.96374630928,-0.0875198170543,295.294372829,4,1,5
2779,-63.5,306.5,34.0945930481,4.10196971893,-0.14777444303,301.845758717,4,1,5
2780,-63.5,307.5,34.0790481567,4.12710094452,-0.179482161999,308.080953433,4,1,7
2781,-63.5,308.5,34.0579566956,4.14014625549,-0.190193682909,313.371376748,4,1,7
2782,-63.5,309.5,34.0376853943,4.149122715,-0.202347695827,317.400910372,4,1,7
2783,-63.5,310.5,34.0202903748,4.15707588196,-0.223450317979,320.301372769,4,1,7
2784,-63.5,311.5,34.0058708191,4.16535758972,-0.249476417899,322.346666814,4,1,7
2785,-63.5,312.5,33.9948501587,4.17208814621,-0.282280266285,323.955845982,4,1,7
2786,-63.5,313.5,33.9853591919,4.17883014679,-0.317228496075,325.32508493,4,1,7
2787,-63.5,314.5,33.9762992859,4.18456029892,-0.354749560356,326.51392857,4,1,7
2788,-63.5,315.5,33.9672431946,4.18883895874,-0.399352014065,327.739310706,4,1,7
2789,-63.5,316.5,33.9579238892,4.19184112549,-0.452642172575,329.154255522,4,1,7
2790,-63.5,317.5,33.9481277466,4.19460964203,-0.510810732841,330.697318757,4,1,7
